int __fastcall sub_8C7A8(int a1, util::SharedPtrDefaultBase *a2, const util::SharedPtrDefaultBase *a3)
{
  int v3; // r4
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_61FFC,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 348),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  *(_BYTE *)(v3 + 360) = 0;
  *(_BYTE *)(v3 + 361) = 0;
  std::UUID::UUID((std::UUID *)&v101, 0x24FD4522u, 0xB997u, 0x4CD5u, 0xB2F8u, 0x89u, 0xDu, 0x6Cu, 0x22u, 0x4Eu, 0xB0u);
  *(_DWORD *)(v3 + 364) = 0;
  *(_DWORD *)(v3 + 368) = 0;
  v6 = operator new(0x3Cu);
  v7 = v6;
  *(_DWORD *)v6 = v6;
  *(_DWORD *)(v7 + 4) = v7;
  *(_DWORD *)(v7 + 8) = v7;
  *(_BYTE *)(v6 + 12) = 1;
  *(_BYTE *)(v6 + 13) = 1;
  *(_DWORD *)(v3 + 364) = v6;
  comm::AttributeNotificationContainer::ReplyInterfaceTracker::ReplyInterfaceTracker(
    (comm::AttributeNotificationContainer::ReplyInterfaceTracker *)(v3 + 372),
    (comm::AttributeNotificationContainer *)(v3 + 364),
    (const std::UUID *)&v101);
  *(_DWORD *)(v3 + 400) = 0;
  *(_DWORD *)(v3 + 404) = 0;
  osal::MutexOps::init(v3 + 400, 0, 0, 0);
  std::UUID::~UUID((std::UUID *)&v101);
  *(_DWORD *)(v3 + 408) = 0;
  *(_DWORD *)(v3 + 412) = 0;
  osal::MutexOps::init(v3 + 408, 0, 0, 0);
  *(_DWORD *)(v3 + 424) = 0;
  *(_DWORD *)(v3 + 440) = 0;
  *(_DWORD *)(v3 + 420) = &off_1125C8;
  *(_DWORD *)(v3 + 428) = &off_1125E8;
  *(_DWORD *)(v3 + 468) = 0;
  *(_DWORD *)(v3 + 436) = &off_1124E0;
  *(_DWORD *)(v3 + 476) = 0;
  *(_DWORD *)(v3 + 484) = 0;
  *(_DWORD *)(v3 + 488) = 0;
  *(_DWORD *)(v3 + 492) = 0;
  *(_DWORD *)(v3 + 500) = 0;
  *(_DWORD *)(v3 + 444) = &off_112500;
  *(_DWORD *)(v3 + 508) = 0;
  *(_DWORD *)v3 = &off_112D08;
  *(_DWORD *)(v3 + 28) = &off_112E84;
  *(_DWORD *)(v3 + 320) = &off_112F20;
  *(_DWORD *)(v3 + 416) = &off_112F50;
  *(_DWORD *)(v3 + 432) = &off_112F6C;
  *(_DWORD *)(v3 + 448) = &off_112F88;
  *(_DWORD *)(v3 + 452) = &off_112FB0;
  *(_DWORD *)(v3 + 456) = &off_112FC4;
  *(_DWORD *)(v3 + 460) = &off_112FE8;
  *(_DWORD *)(v3 + 464) = &off_112FFC;
  *(_DWORD *)(v3 + 472) = &off_113018;
  *(_DWORD *)(v3 + 480) = &off_11302C;
  *(_BYTE *)(v3 + 512) = 0;
  *(_DWORD *)(v3 + 496) = &off_113040;
  *(_DWORD *)(v3 + 504) = &off_113060;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_67960(v3 + 516, 1, s, &v91, v3 + 504);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  *(_BYTE *)(v3 + 528) = 0;
  v8 = (_DWORD *)operator new(60, &std::nothrow);
  v9 = v8;
  *v8 = 0;
  v10 = (util::SharedPtrDefaultBase *)(v8 + 1);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_483E8,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(v10, (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_621F4,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v9 + 4),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  *((_WORD *)v9 + 14) = 0;
  *((_BYTE *)v9 + 30) = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_483E8,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v9 + 8),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  v9[11] = 0;
  v9[12] = 0;
  *((_BYTE *)v9 + 52) = 0;
  v9[14] = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 532),
    v9,
    (void (__cdecl *)(void *, void *))sub_647BC,
    0);
  v11 = operator new(32, &std::nothrow);
  CITypesFactory::createString((CITypesFactory *)v11);
  CITypesFactory::createString((CITypesFactory *)(v11 + 12));
  *(_BYTE *)(v11 + 28) = 1;
  *(_DWORD *)(v11 + 24) = 7;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 544),
    (void *)v11,
    (void (__cdecl *)(void *, void *))util::SharedPtr<networking_::Wlan5GApProfile,util::SharedPtrDefaultBase>::deleteObject,
    0);
  *(_DWORD *)(v3 + 556) = 0;
  *(_DWORD *)(v3 + 560) = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(v5, v4);
  *(_DWORD *)(v3 + 596) = 0;
  *(_DWORD *)(v3 + 600) = 15;
  *(_DWORD *)(v3 + 624) = 15;
  *(_BYTE *)(v3 + 580) = 0;
  *(_DWORD *)(v3 + 620) = 0;
  *(_BYTE *)(v3 + 604) = 0;
  sub_340A0((void *)(v3 + 648), "");
  *(_DWORD *)(v3 + 684) = 0;
  *(_BYTE *)(v3 + 688) = 0;
  *(_DWORD *)(v3 + 680) = 6;
  *(_BYTE *)(v3 + 689) = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 692),
    (void (__cdecl *)(void *, void *))util::SharedPtr<jobsmng::CJobBase,util::SharedPtrDefaultBase>::deleteObject,
    0);
  *(_DWORD *)(v3 + 768) = 12;
  *(_DWORD *)(v3 + 772) = 12;
  *(_BYTE *)(v3 + 704) = 0;
  *(_DWORD *)(v3 + 736) = 0;
  *(_DWORD *)(v3 + 740) = 15;
  *(_BYTE *)(v3 + 720) = 0;
  *(_DWORD *)(v3 + 760) = 0;
  *(_DWORD *)(v3 + 764) = 15;
  *(_BYTE *)(v3 + 744) = 0;
  *(_BYTE *)(v3 + 784) = 0;
  *(_DWORD *)(v3 + 804) = 0;
  *(_DWORD *)(v3 + 808) = 15;
  *(_BYTE *)(v3 + 788) = 0;
  *(_DWORD *)(v3 + 828) = 0;
  *(_DWORD *)(v3 + 832) = 15;
  *(_BYTE *)(v3 + 812) = 0;
  *(_BYTE *)(v3 + 836) = 0;
  *(_BYTE *)(v3 + 837) = 0;
  *(_BYTE *)(v3 + 838) = 1;
  *(_BYTE *)(v3 + 839) = 0;
  *(_DWORD *)(v3 + 840) = 0;
  *(_DWORD *)(v3 + 844) = 0;
  *(_QWORD *)(v3 + 712) = 387530754LL;
  *(_QWORD *)(v3 + 776) = 0LL;
  v12 = (_DWORD *)operator new(0x14u);
  v13 = *(_DWORD *)(v3 + 844);
  *v12 = v12;
  v12[1] = v12;
  *(_DWORD *)(v3 + 840) = v12;
  if ( v13 )
  {
    while ( 1 )
    {
      v14 = (_DWORD **)v12[1];
      v15 = (comm::Proxy *)(v14 + 2);
      *v14[1] = *v14;
      (*v14)[1] = v14[1];
      v16 = (void (__fastcall **)(comm::Proxy *))v14[2];
      *(_DWORD *)(v3 + 844) = v13 - 1;
      if ( (char *)*v16 == (char *)asi::connectivity::networking::WlanServiceProxyReply::~WlanServiceProxyReply )
      {
        v14[2] = &off_112468;
        v14[4] = &off_11248C;
        comm::Proxy::~Proxy(v15);
        operator delete(v14);
        v13 = *(_DWORD *)(v3 + 844);
        if ( !v13 )
          break;
      }
      else
      {
        (*v16)(v15);
        operator delete(v14);
        v13 = *(_DWORD *)(v3 + 844);
        if ( !v13 )
          break;
      }
      v12 = *(_DWORD **)(v3 + 840);
    }
  }
  *(_DWORD *)(v3 + 848) = 0;
  *(_DWORD *)(v3 + 852) = 0;
  v17 = (_DWORD *)operator new(0x14u);
  v18 = *(_DWORD *)(v3 + 852);
  *v17 = v17;
  v17[1] = v17;
  *(_DWORD *)(v3 + 848) = v17;
  if ( v18 )
  {
    while ( 1 )
    {
      v19 = (_DWORD **)v17[1];
      v20 = (comm::Proxy *)(v19 + 2);
      *v19[1] = *v19;
      (*v19)[1] = v19[1];
      v21 = (void (__fastcall **)(comm::Proxy *))v19[2];
      *(_DWORD *)(v3 + 852) = v18 - 1;
      if ( (char *)*v21 == (char *)asi::wlan::RCC2MMX_WlanProxyReply::~RCC2MMX_WlanProxyReply )
      {
        v19[2] = &off_112608;
        v19[4] = &off_11262C;
        comm::Proxy::~Proxy(v20);
        operator delete(v19);
        v18 = *(_DWORD *)(v3 + 852);
        if ( !v18 )
          break;
      }
      else
      {
        (*v21)(v20);
        operator delete(v19);
        v18 = *(_DWORD *)(v3 + 852);
        if ( !v18 )
          break;
      }
      v17 = *(_DWORD **)(v3 + 848);
    }
  }
  v22 = v81;
  *(_DWORD *)(v3 + 856) = 0;
  *(_DWORD *)(v3 + 860) = 0;
  *(_DWORD *)(v3 + 864) = 0;
  *(_DWORD *)(v3 + 868) = 0;
  *(_DWORD *)(v3 + 872) = 0;
  *(_DWORD *)(v3 + 876) = 0;
  *(_DWORD *)(v3 + 880) = 0;
  *(_DWORD *)(v3 + 884) = 0;
  *(_DWORD *)(v3 + 888) = 0;
  v88 = v3 + 892;
  v85 = (osal::NetDevice *)(v3 + 916);
  v83 = (util::SharedPtrDefaultBase *)(v3 + 904);
  v82 = (util::SharedPtrDefaultBase *)(v3 + 940);
  v84 = (util::SharedPtrDefaultBase *)(v3 + 928);
  v86 = (tracing::Channel *)(v3 + 952);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)(v3 + 892), v22);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 904),
    (void (__cdecl *)(void *, void *))util::SharedPtr<jobsmng::CJobsManager,util::SharedPtrDefaultBase>::deleteObject,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 916),
    (void (__cdecl *)(void *, void *))util::SharedPtr<networking_::AsyncTaskWlanSignalStrength,util::SharedPtrDefaultBase>::deleteObject,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 928),
    (void (__cdecl *)(void *, void *))sub_3115C,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 940),
    (void (__cdecl *)(void *, void *))sub_3115C,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 952),
    (void (__cdecl *)(void *, void *))sub_3115C,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v23 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 964, 600000, 0, v23, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v24 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 1200, 0, 0, v24, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v25 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 1436, 0, 0, v25, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v26 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 1676, 0, 1, v26, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v27 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 1912, 40000, 0, v27, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v28 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 2148, 30000, 0, v28, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  v29 = sub_689AC((util::SharedPtrDefaultBase *)&v91);
  sub_C5D0C(v3 + 2384, 0, 0, v29, 1);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  CITypesFactory::createString((CITypesFactory *)(v3 + 2620));
  CITypesFactory::createString((CITypesFactory *)(v3 + 2632));
  *(_BYTE *)(v3 + 2644) = 0;
  *(_DWORD *)(v3 + 2672) = 15;
  *(_BYTE *)(v3 + 2645) = 0;
  *(_BYTE *)(v3 + 2646) = 0;
  *(_BYTE *)(v3 + 2647) = 0;
  *(_BYTE *)(v3 + 2648) = 0;
  *(_DWORD *)(v3 + 2668) = 0;
  *(_BYTE *)(v3 + 2652) = 0;
  sub_340A0((void *)(v3 + 2680), "WLAN_");
  sub_340A0((void *)(v3 + 2704), "mib2p");
  sub_3ED58(v3 + 2728, v3 + 2704);
  *(_DWORD *)(v3 + 2752) = 11;
  *(_BYTE *)(v3 + 2756) = 0;
  v30 = (_DWORD *)operator new(12, &std::nothrow);
  *v30 = 0;
  v30[1] = 0;
  v30[2] = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 2760),
    v30,
    (void (__cdecl *)(void *, void *))util::SharedPtr<CIPtrArray<networking_::WlanClientProfile>,util::SharedPtrDefaultBase>::deleteObject,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 2772),
    0,
    (void (__cdecl *)(void *, void *))util::SharedPtr<networking_::WlanClientProfile,util::SharedPtrDefaultBase>::deleteObject,
    0);
  *(_BYTE *)(v3 + 2801) = 1;
  *(_DWORD *)(v3 + 2784) = 5;
  *(_BYTE *)(v3 + 2788) = 0;
  *(_BYTE *)(v3 + 2789) = 0;
  *(_BYTE *)(v3 + 2790) = 0;
  *(_BYTE *)(v3 + 2791) = 0;
  *(_DWORD *)(v3 + 2792) = 0;
  *(_DWORD *)(v3 + 2796) = 0;
  *(_BYTE *)(v3 + 2800) = 0;
  osal::SecureRandom::SecureRandom((osal::SecureRandom *)(v3 + 2804), 0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_61FFC,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 2872),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_68BC4(v3 + 2888, &v91, v3, networking_::WLAN::newScanResultsSync, 0);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_68BC4(v3 + 2952, &v91, v3, networking_::WLAN::connectToApSyncCb, 0);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_68BC4(v3 + 3016, &v91, v3, networking_::WLAN::disconnectFromApSyncCb, 0);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v89, v4);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    (const util::SharedPtrDefaultBase *)&v89);
  v31 = (int *)operator new(0x18u);
  *v31 = (int)&off_112BA0;
  v31[2] = 0;
  v31[1] = (int)networking_::WLAN::callFun;
  v31[4] = v3;
  v102 = v31;
  *(_DWORD *)(v3 + 3080) = &off_1120C8;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 3084),
    (const util::SharedPtrDefaultBase *)&v91);
  if ( v102 )
  {
    if ( v102 == &v101 )
    {
      v73 = (*(int (__fastcall **)(int *, int))(v101 + 4))(&v101, v3 + 3096);
      v74 = v102;
      *(_DWORD *)(v3 + 3112) = v73;
      if ( v74 )
      {
        v75 = (char *)((char *)&v101 - (char *)v74);
        if ( &v101 != v74 )
          v75 = (_BYTE *)(&dword_0 + 1);
        (*(void (__fastcall **)(int *, char *))(*v74 + 16))(v74, v75);
        v102 = 0;
      }
    }
    else
    {
      *(_DWORD *)(v3 + 3112) = v102;
      v102 = 0;
    }
  }
  else
  {
    *(_DWORD *)(v3 + 3112) = 0;
  }
  *(_DWORD *)(v3 + 3120) = 0;
  *(_DWORD *)(v3 + 3124) = 0;
  osal::MutexOps::init(v3 + 3120, 0, 0, 0);
  *(_DWORD *)(v3 + 3128) = 0;
  *(_DWORD *)(v3 + 3132) = 0;
  *(_DWORD *)(v3 + 3136) = 0;
  sub_50CA4(&v101);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  *(_DWORD *)(v3 + 3080) = &off_112768;
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v89);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_68D38(v3 + 3144, &v91, v3, networking_::WLAN::newClientSync, 0);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_68D38(v3 + 3208, &v91, v3, networking_::WLAN::removedClientSync, 0);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v89, v4);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    (const util::SharedPtrDefaultBase *)&v89);
  v32 = (int *)operator new(0x18u);
  *v32 = (int)&off_112BF0;
  v32[2] = 0;
  v32[4] = v3;
  v32[1] = (int)networking_::WLAN::deauth;
  v102 = v32;
  *(_DWORD *)(v3 + 3272) = &off_112798;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 3276),
    (const util::SharedPtrDefaultBase *)&v91);
  if ( v102 )
  {
    if ( v102 == &v101 )
    {
      v76 = (*(int (__fastcall **)(int *, int))(v101 + 4))(&v101, v3 + 3288);
      v77 = v102;
      *(_DWORD *)(v3 + 3304) = v76;
      if ( v77 )
      {
        v78 = (char *)((char *)&v101 - (char *)v77);
        if ( &v101 != v77 )
          v78 = (_BYTE *)(&dword_0 + 1);
        (*(void (__fastcall **)(int *, char *))(*v77 + 16))(v77, v78);
        v102 = 0;
      }
    }
    else
    {
      *(_DWORD *)(v3 + 3304) = v102;
      v102 = 0;
    }
  }
  else
  {
    *(_DWORD *)(v3 + 3304) = 0;
  }
  *(_DWORD *)(v3 + 3312) = 0;
  *(_DWORD *)(v3 + 3316) = 0;
  osal::MutexOps::init(v3 + 3312, 0, 0, 0);
  *(_DWORD *)(v3 + 3320) = 0;
  *(_DWORD *)(v3 + 3324) = 0;
  *(_DWORD *)(v3 + 3328) = 0;
  sub_72DB4(&v101);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  *(_DWORD *)(v3 + 3272) = &off_1127A8;
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v89);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v4);
  sub_67960(v3 + 3336, 1, s, &v91, 0);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  sub_68A38(
    v3 + 3352,
    "/home/jenkins/workspace/PM_mib2p_build_prod/connectivity/app_connection_manager/src/WLAN.cxx",
    "WLAN",
    442);
  *(_DWORD *)(v3 + 3356) = 0;
  *(_DWORD *)(v3 + 3360) = 0;
  *(_DWORD *)(v3 + 3364) = 0;
  *(_DWORD *)(v3 + 3368) = 0;
